Airline,Source,Destination,Departure_Time,Duration_Hours,Total_Stops,Days_Left,Class,Price
Vistara,Kolkata,Hyderabad,Night,5.2,2,58,Economy,10590
Air India,Hyderabad,Chennai,Night,6.8,1,2,Economy,14384
SpiceJet,Chennai,Delhi,Afternoon,4.7,0,49,Economy,7204
SpiceJet,Kolkata,Bangalore,Evening,7.9,0,3,Business,20331
Air India,Chennai,Delhi,Night,7.6,1,50,Economy,11110
Vistara,Kolkata,Hyderabad,Afternoon,3.7,1,40,Economy,9039
SpiceJet,Hyderabad,Mumbai,Afternoon,1.2,1,26,Economy,7809
IndiGo,Hyderabad,Kolkata,Afternoon,3.3,0,18,Economy,9084
SpiceJet,Mumbai,Delhi,Night,4.8,0,29,Economy,8802
IndiGo,Bangalore,Kolkata,Night,6.1,0,59,Economy,8156
SpiceJet,Mumbai,Delhi,Evening,7.0,1,33,Economy,10407
Vistara,Bangalore,Chennai,Evening,4.3,0,47,Economy,8252
Air India,Delhi,Hyderabad,Evening,6.4,2,27,Economy,12121
IndiGo,Chennai,Bangalore,Night,4.9,1,37,Economy,9340
AirAsia,Chennai,Bangalore,Night,7.6,2,59,Economy,9947
AirAsia,Hyderabad,Delhi,Afternoon,4.2,1,11,Economy,11108
IndiGo,Kolkata,Delhi,Morning,2.6,1,57,Economy,4832
Vistara,Chennai,Delhi,Afternoon,3.4,2,59,Economy,8633
IndiGo,Delhi,Chennai,Afternoon,7.8,1,39,Economy,10704
IndiGo,Delhi,Kolkata,Afternoon,4.5,1,23,Economy,9714
Vistara,Delhi,Mumbai,Afternoon,2.0,1,32,Economy,8659
AirAsia,Bangalore,Delhi,Night,7.9,1,11,Economy,13334
SpiceJet,Delhi,Mumbai,Evening,2.3,0,3,Economy,8695
IndiGo,Kolkata,Delhi,Night,3.7,1,40,Economy,8324
IndiGo,Kolkata,Delhi,Afternoon,7.5,1,42,Economy,11312
SpiceJet,Delhi,Chennai,Morning,2.7,1,12,Economy,9893
IndiGo,Bangalore,Delhi,Evening,5.9,2,20,Business,19339
SpiceJet,Bangalore,Delhi,Afternoon,5.7,1,35,Economy,10499
IndiGo,Delhi,Kolkata,Morning,3.0,1,18,Economy,9635
SpiceJet,Kolkata,Delhi,Morning,4.5,2,3,Economy,12202
Vistara,Delhi,Chennai,Evening,5.5,1,46,Economy,10364
Air India,Bangalore,Kolkata,Morning,4.5,2,33,Economy,10717
SpiceJet,Chennai,Bangalore,Evening,6.4,0,44,Business,15998
SpiceJet,Chennai,Bangalore,Morning,1.5,0,21,Economy,7840
Air India,Delhi,Kolkata,Morning,3.8,1,58,Business,13846
Air India,Bangalore,Mumbai,Afternoon,6.2,0,9,Economy,13115
Air India,Chennai,Mumbai,Evening,2.8,0,60,Economy,6679
Vistara,Delhi,Chennai,Evening,1.2,1,2,Economy,10884
IndiGo,Hyderabad,Bangalore,Afternoon,4.8,0,22,Economy,9664
IndiGo,Kolkata,Hyderabad,Night,6.4,0,39,Economy,10204
Vistara,Chennai,Kolkata,Evening,2.0,0,50,Economy,7524
Air India,Bangalore,Chennai,Evening,2.8,1,53,Economy,6806
AirAsia,Delhi,Chennai,Morning,2.2,0,47,Economy,6663
IndiGo,Chennai,Hyderabad,Night,4.6,2,5,Economy,12522
Air India,Bangalore,Chennai,Night,2.1,1,57,Economy,6660
AirAsia,Kolkata,Delhi,Evening,1.3,1,5,Business,16410
Air India,Kolkata,Mumbai,Evening,4.5,0,56,Economy,7369
SpiceJet,Bangalore,Chennai,Afternoon,5.0,0,33,Economy,8990
SpiceJet,Bangalore,Hyderabad,Evening,6.7,1,43,Economy,9707
Air India,Chennai,Mumbai,Afternoon,3.4,2,41,Economy,9204
Air India,Mumbai,Hyderabad,Morning,7.6,0,21,Business,18332
Vistara,Bangalore,Delhi,Night,1.9,0,39,Economy,8505
SpiceJet,Hyderabad,Chennai,Morning,5.8,2,25,Economy,11676
AirAsia,Kolkata,Delhi,Evening,1.7,0,41,Economy,4783
SpiceJet,Delhi,Chennai,Evening,4.5,0,5,Economy,11452
IndiGo,Kolkata,Hyderabad,Evening,1.6,1,58,Economy,4782
Vistara,Mumbai,Hyderabad,Evening,4.8,2,18,Business,20164
AirAsia,Delhi,Hyderabad,Night,1.5,1,27,Economy,7738
AirAsia,Chennai,Hyderabad,Afternoon,7.9,0,1,Business,20595
SpiceJet,Chennai,Kolkata,Afternoon,6.0,2,44,Economy,9886
Air India,Bangalore,Mumbai,Evening,1.8,2,45,Economy,7319
IndiGo,Kolkata,Hyderabad,Evening,6.2,0,28,Business,17376
IndiGo,Kolkata,Delhi,Night,4.7,0,6,Economy,11133
Vistara,Chennai,Hyderabad,Night,1.5,2,19,Business,17525
IndiGo,Mumbai,Delhi,Afternoon,3.1,0,53,Economy,6948
Air India,Bangalore,Chennai,Night,1.4,1,12,Economy,9069
SpiceJet,Chennai,Mumbai,Night,4.2,1,60,Economy,5884
SpiceJet,Kolkata,Hyderabad,Night,2.1,1,35,Economy,7551
AirAsia,Mumbai,Kolkata,Evening,7.4,1,56,Business,15684
Air India,Delhi,Mumbai,Night,7.9,2,21,Economy,13945
Vistara,Delhi,Kolkata,Morning,6.9,1,41,Economy,11696
IndiGo,Hyderabad,Kolkata,Morning,8.0,1,3,Economy,14232
AirAsia,Chennai,Hyderabad,Afternoon,6.9,0,21,Economy,10466
SpiceJet,Delhi,Bangalore,Evening,1.8,1,58,Economy,5588
Vistara,Hyderabad,Bangalore,Afternoon,7.0,1,44,Economy,11456
Air India,Chennai,Hyderabad,Evening,2.5,1,60,Business,13836
Air India,Mumbai,Bangalore,Afternoon,4.9,2,34,Economy,11461
Vistara,Kolkata,Mumbai,Morning,7.6,1,56,Economy,11077
SpiceJet,Delhi,Chennai,Night,1.3,1,53,Economy,5558
IndiGo,Bangalore,Kolkata,Evening,1.9,2,11,Economy,9264
IndiGo,Kolkata,Chennai,Evening,7.1,2,29,Business,18467
Air India,Chennai,Hyderabad,Night,3.4,1,21,Economy,10352
SpiceJet,Chennai,Delhi,Afternoon,7.3,0,14,Economy,11777
AirAsia,Delhi,Kolkata,Morning,2.9,0,8,Economy,9253
Air India,Chennai,Kolkata,Night,3.6,1,45,Economy,8753
AirAsia,Bangalore,Chennai,Afternoon,4.1,2,51,Economy,8226
